,id,评论编号,评论内容,评分,评论用户名,评论日期
37345,56705.0,88.0,汽车追逐巨烦,8,fkxacg,@ 2017-9-14 18:04
44432,5458.0,59.0,3线才能算完整,8,午夜,@ 2011-3-10 14:23
101825,192317.0,4.0,几个月来玩过最垃圾的游戏 浪费生命 那就是辣鸡 不知道为何都在吹剧情怎么样清流 从最开始的剧情就槽点满满 男主踏入缝隙，魔兽王来老爷子居然还让男主去追以及各种各样的巧合反正男主光环啦。。。一一举出我觉得能列一张A4纸 撇开这些细节不说 大的素材也是到处拼凑的 一股廉价感 没有灵魂 另外这类玩的少 一些没必要的拖延也非常影响体验 除去音乐还算耐听 一无是处）哦我没玩过什么超时空之轮 情怀什么的不存在,1,真红时雨,@ 2019-1-31 19:00
102412,22685.0,13.0,爲了肉村，總體感覺不錯，新穎的製作，幼馴染三人組+人父.,7,柑茶,@ 2014-3-28 02:41
140246,21075.0,8.0,由良的画风是乙女界的一股清流。系统和可玩度都不错的养成游戏,7.0,いんじゃ,@ 2017-5-1 05:04
52386,1167.0,288.0,玩过后很闷。。,8,艾莉娜,@ 2015-4-26 12:54
153513,239408.0,1.0,可比前作无聊太多了，玩的打瞌睡,6.0,時坂 洸,@ 2018-3-3 17:42
17495,1548.0,252.0,"嘛嘛,...基情什么的最讨厌啦~",6,桂木弥生喵,@ 2009-7-17 22:40
163669,1422.0,21.0,还是很传统的日系的剧情,7.0,caleb89,@ 2017-7-20 11:59
35390,60133.0,5.0,全能的赶脚真好......,8,apple953,@ 2013-10-10 16:49
